Tue Dec 16 14:59:56 2014
,0,0,-1,71,151,-1,72,151,-1,73,151,-1,74,151,-1,75,151,-1,76,151,-1,77,151,-1,33,152,-1,34,152,-1,35,152,-1,36,152,-1,61,153,-1,62,153,-1,63,153,-1,64,153,-1;Tue Dec 16 15:13:18 2014
,0,0,-1,71,151,-1,72,151,-1,73,151,-1,74,151,-1,75,151,-1,76,151,-1,77,151,-1,33,152,-1,34,152,-1,35,152,-1,36,152,-1,61,153,-1,62,153,-1,63,153,-1,64,153,-1;Tue Dec 16 15:17:08 2014
,0,0,-1,71,151,-1,72,151,-1,73,151,-1,74,151,-1,75,151,-1,76,151,-1,77,151,-1,33,152,-1,34,152,-1,35,152,-1,36,152,-1,61,153,-1,62,153,-1,63,153,-1,64,153,-1;Tue Dec 16 15:20:59 2014
,0,0,-1,71,151,-1,72,151,-1,73,151,-1,74,151,-1,75,151,-1,76,151,-1,77,151,-1,33,152,-1,34,152,-1,35,152,-1,36,152,-1,61,153,-1,62,153,-1,63,153,-1,64,153,-1;Tue Dec 16 15:23:45 2014
,0,0,-1,71,151,-1,72,151,-1,73,151,-1,74,151,-1,75,151,-1,76,151,-1,77,151,-1,33,152,-1,34,152,-1,35,152,-1,36,152,-1,61,153,1,62,153,1,63,153,0,64,153,0;Tue Dec 16 15:24:25 2014
,0,0,-1,71,151,0,72,151,0,73,151,0,74,151,0,75,151,0,76,151,0,77,151,0,33,152,0,34,152,0,35,152,0,36,152,0,61,153,0,62,153,0,63,153,0,64,153,0;Tue Dec 16 15:27:33 2014
,0,0,-1,71,151,0,72,151,0,73,151,0,74,151,0,75,151,0,76,151,0,77,151,0,33,152,0,34,152,0,35,152,0,36,152,0,61,153,0,62,153,0,63,153,0,64,153,0;Tue Dec 16 15:28:29 2014
,0,0,-1,71,151,0,72,151,0,73,151,0,74,151,0,75,151,0,76,151,0,77,151,0,33,152,0,34,152,0,35,152,0,36,152,0,61,153,0,62,153,0,63,153,0,64,153,0;Tue Dec 16 15:29:23 2014
,0,0,-1,71,151,0,72,151,0,73,151,0,74,151,0,75,151,0,76,151,0,77,151,0,33,152,0,34,152,0,35,152,0,36,152,0,61,153,0,62,153,0,63,153,0,64,153,0;Tue Dec 16 15:35:13 2014
,0,0,-1,71,151,0,72,151,0,73,151,0,74,151,0,75,151,0,76,151,0,77,151,0,33,152,0,34,152,0,35,152,0,36,152,0,61,153,0,62,153,0,63,153,0,64,153,0;Tue Dec 16 15:35:48 2014
,0,0,-1,71,151,0,72,151,0,73,151,0,74,151,0,75,151,0,76,151,0,77,151,0,33,152,0,34,152,0,35,152,0,36,152,0,61,153,0,62,153,0,63,153,0,64,153,0;Tue Dec 16 15:37:59 2014
,0,0,-1,71,151,-1,72,151,0,73,151,0,74,151,0,75,151,0,76,151,0,77,151,0,33,152,0,34,152,0,35,152,0,36,152,0,61,153,0,62,153,0,63,153,0,64,153,0;Tue Dec 16 15:39:42 2014
,0,0,-1,71,151,0,72,151,0,73,151,0,74,151,0,75,151,0,76,151,0,77,151,0,33,152,0,34,152,0,35,152,0,36,152,0,61,153,0,62,153,0,63,153,0,64,153,0;Tue Dec 16 15:44:59 2014
